{ Name = Centro comercial Moctezuma, Year = 1996, Mounth = 7, Sum = 100.8 }
{ Name = Bon app', Year = 1996, Mounth = 10, Sum = 21963.25 }
{ Name = Mere Paillarde, Year = 1996, Mounth = 10, Sum = 28872.19 }
{ Name = Koniglich Essen, Year = 1996, Mounth = 10, Sum = 30908.38 }
{ Name = Save-a-lot Markets, Year = 1996, Mounth = 10, Sum = 104361.96 }
{ Name = Galeria del gastronomo, Year = 1996, Mounth = 11, Sum = 836.7 }
{ Name = Drachenblut Delikatessen, Year = 1996, Mounth = 11, Sum = 3763.21 }
{ Name = Familia Arquibaldo, Year = 1996, Mounth = 11, Sum = 4107.55 }
{ Name = Antonio Moreno Taqueria, Year = 1996, Mounth = 11, Sum = 7023.97 }
{ Name = La maison d'Asie, Year = 1996, Mounth = 11, Sum = 9328.2 }
{ Name = Around the Horn, Year = 1996, Mounth = 11, Sum = 13390.65 }
{ Name = Eastern Connection, Year = 1996, Mounth = 11, Sum = 14761.04 }
{ Name = Vaffeljernet, Year = 1996, Mounth = 11, Sum = 15843.93 }
{ Name = Seven Seas Imports, Year = 1996, Mounth = 11, Sum = 16215.33 }
{ Name = Piccolo und mehr, Year = 1996, Mounth = 11, Sum = 23128.86 }
{ Name = Hungry Coyote Import Store, Year = 1996, Mounth = 12, Sum = 3063.2 }
{ Name = Wolski  Zajazd, Year = 1996, Mounth = 12, Sum = 3531.95 }
{ Name = Sante Gourmet, Year = 1996, Mounth = 12, Sum = 5735.15 }
{ Name = Bottom-Dollar Markets, Year = 1996, Mounth = 12, Sum = 20801.59 }
{ Name = Queen Cozinha, Year = 1996, Mounth = 12, Sum = 25717.5 }
{ Name = Franchi S.p.A., Year = 1997, Mounth = 1, Sum = 1545.7 }
{ Name = Oceano Atlantico Ltda., Year = 1997, Mounth = 1, Sum = 3460.2 }
{ Name = Gourmet Lanchonetes, Year = 1997, Mounth = 1, Sum = 8414.14 }
{ Name = Ottilies Kaseladen, Year = 1997, Mounth = 1, Sum = 10991.54 }
{ Name = Folies gourmandes, Year = 1997, Mounth = 1, Sum = 11666.9 }
{ Name = LINO-Delicateses, Year = 1997, Mounth = 1, Sum = 16476.57 }
{ Name = Consolidated Holdings, Year = 1997, Mounth = 2, Sum = 1719.1 }
{ Name = Rancho grande, Year = 1997, Mounth = 2, Sum = 2844.1 }
{ Name = Toms Spezialitaten, Year = 1997, Mounth = 2, Sum = 2914.74 }
{ Name = Lazy K Kountry Store, Year = 1997, Mounth = 3, Sum = 357 }
{ Name = Laughing Bacchus Wine Cellars, Year = 1997, Mounth = 4, Sum = 522.5 }
{ Name = North/South, Year = 1997, Mounth = 4, Sum = 649 }
{ Name = Cactus Comidas para llevar, Year = 1997, Mounth = 4, Sum = 1814.8 }
{ Name = Blauer See Delikatessen, Year = 1997, Mounth = 4, Sum = 3239.8 }
{ Name = Maison Dewey, Year = 1997, Mounth = 5, Sum = 9736.08 }
{ Name = Great Lakes Food Market, Year = 1997, Mounth = 5, Sum = 18507.45 }
{ Name = Trail's Head Gourmet Provisioners, Year = 1997, Mounth = 6, Sum = 1571.2 }
{ Name = Let's Stop N Shop, Year = 1997, Mounth = 6, Sum = 3076.47 }
{ Name = The Cracker Box, Year = 1997, Mounth = 8, Sum = 1947.24 }
{ Name = Alfreds Futterkiste, Year = 1997, Mounth = 8, Sum = 4273 }
{ Name = France restauration, Year = 1997, Mounth = 9, Sum = 3172.16 }
{ Name = Specialites du monde, Year = 1997, Mounth = 11, Sum = 2423.35 }
{ Name = La corne d'abondance, Year = 1998, Mounth = 1, Sum = 1992.05 }
